Number of runs for each test case: 5
Set size: 19
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         0.06220                  1.00000   
2         0.03000                  2.07333   
3         0.02320                  2.68103   
4         0.02140                  2.90654   
6         0.02060                  3.01942   
8         0.02140                  2.90654   
10        0.01940                  3.20619   
12        0.02100                  2.96190   
16        0.01840                  3.38043   
24        0.01520                  4.09211   
32        0.01560                  3.98718   
48        0.01640                  3.79268   
64        0.01700                  3.65882   
92        0.01780                  3.49438   
128       0.01760                  3.53409   
256       0.02460                  2.52846   
