Number of runs for each test case: 5
Set size: 17
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         0.00900                  1.00000   
2         0.00320                  2.81250   
3         0.00220                  4.09091   
4         0.00320                  2.81250   
6         0.00280                  3.21429   
8         0.00260                  3.46154   
10        0.00260                  3.46154   
12        0.00260                  3.46154   
16        0.00300                  3.00000   
24        0.00320                  2.81250   
32        0.00360                  2.50000   
48        0.00580                  1.55172   
64        0.00660                  1.36364   
92        0.01080                  0.83333   
128       0.01200                  0.75000   
256       0.02180                  0.41284   
