Number of runs for each test case: 10
Graph size: 15
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         0.17540                  1.00000   
2         0.09990                  1.75576   
3         0.08220                  2.13382   
4         0.06350                  2.76220   
6         0.06450                  2.71938   
8         0.06250                  2.80640   
10        0.05960                  2.94295   
12        0.05950                  2.94790   
16        0.05710                  3.07180   
24        0.06430                  2.72784   
32        0.06610                  2.65356   
48        0.07950                  2.20629   
64        0.09140                  1.91904   
92        0.11810                  1.48518   
128       0.15130                  1.15929   
256       0.27820                  0.63048   
