Number of runs for each test case: 3
Graph size: 22
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         93.88600                 1.00000   
2         57.36200                 1.63673   
3         44.29400                 2.11961   
4         35.68467                 2.63099   
6         30.59867                 3.06830   
8         27.34800                 3.43301   
10        26.65033                 3.52288   
12        27.23633                 3.44709   
16        26.18600                 3.58535   
24        25.27333                 3.71483   
32        24.08600                 3.89795   
48        23.25400                 4.03741   
64        24.26000                 3.86999   
92        24.61167                 3.81469   
128       24.75233                 3.79302   
256       25.29700                 3.71135   
